,phi,theta,psi,delta,xr,yr,zr
0,-0.3048644104385286,-0.20635847666069726,-1.2946979556567284,0.6364351091936193,388.0462575048441,-94.91859844780835,598.9645423879477
1,-0.26518178627309197,-0.19850001196368375,-1.2438301069496138,0.6347145688841703,390.00691694977553,-390.50456399375344,598.9319944063623
2,-0.24116352806657956,-0.18923451009805212,-1.1823442731302818,0.6297539794196374,392.00255141905893,392.66834289736136,598.934988516661
3,-0.20444028141927914,-0.20168587983316522,-1.1496810770303316,0.6373702622247228,395.9781018589267,-1575.1280978419832,597.0369472924787
4,-0.16585943000980843,-0.19679042078492115,-1.0956276227526758,0.5817373440368632,400.0094572801592,-3150.478664835908,595.9806494468385
5,-0.12662258668436308,-0.19543860477435274,-1.0497672513649319,0.5902997230137089,405.0057709656644,0.11150684975850741,593.9257625463729
6,-0.16280002516145908,-0.197665488341992,-0.9656636650558328,0.5198392645807368,410.01288786554034,0.11150684975850741,594.0719992891951
7,-0.14627881392064526,-0.18824874350511603,-0.8988157789524993,0.4469221563349052,415.0380380245227,-26.471096319526836,593.9617634908934
8,-0.11103175435118043,-0.18436030673556933,-0.8237890324580911,0.35070640044954615,420.00462016382676,11.074141396238915,592.9952758934509
9,-0.09993809461434698,-0.18243719309832598,-0.7602636473545011,0.3216610697438268,427.05562776085935,11.194886474926522,593.0221937935451
10,-0.13728059760153505,-0.17891346047054113,-0.6784763463308088,0.21233794686605256,432.99251866162996,40.193287843467736,592.0217843792317
11,-0.14258660809515644,-0.18511575997687604,-0.5939330931384683,0.22071095241378288,440.01256266418204,70.38715766399646,592.0019156401951
12,-0.1321958027950703,-0.19309672407942144,-0.5172775287229194,0.3422526107595661,447.0690295408124,-306.3559269967229,590.9791587404858
13,-0.1472331052160152,-0.2048395605413743,-0.4316047843511295,0.3142681033214432,454.9625410810935,-613.8960641005167,590.0389471101663
14,-0.16060729283266828,-0.22406428402417589,-0.351938486573707,0.29228724440329357,463.9680911274231,-1228.3876526369331,587.9374456301188
15,-0.20051399711752121,-0.2276291937086016,-0.2069830972158186,0.16730574379053273,472.02399224419725,0.2995291724078015,586.9839645105842
16,-0.22323652627969867,-0.2390596403282743,-0.05976621808623297,0.05261495093849028,481.99173446873334,27.52166452127321,585.9743423092949
17,-0.22384887755807603,-0.25347269903696346,-0.023948255522235565,0.05183704502958155,491.9730375723134,66.31571991327897,584.999293702894
18,-0.2229114546977064,-0.2609063615762807,-0.007026746513737025,0.043162433573305396,501.9644547933849,-5.464103820136572,584.0380316894808
19,-0.22120985872840232,-0.2745499640774889,-0.003212341816381935,0.05406166864955282,511.9783703572195,-5.464103820136572,583.0264961931775
20,-0.21979897913759439,-0.28750470198045375,-0.002701263624325218,0.05368445372106289,521.9795851580222,-5.464103820136572,582.0203594049574
21,-0.21951576952814716,-0.2933803019537751,-0.004038455216220794,0.055281758638028616,534.9788891969655,-5.464103820136572,582.0222524090917
22,-0.2200791362542569,-0.3051665695983764,-0.005079273526799765,0.05483769809814031,546.9787479019868,-35.74200124652363,582.0223202087927
23,-0.21977964688558105,-0.30550437631322547,-0.004909115536472352,0.05517506063123357,558.9912706453911,9.836672746059293,581.9830831233155
24,-0.24060808714295945,-0.3111754318018955,-0.004113815950493599,0.03990881368075145,570.9942299736051,9.836672746059293,581.9830476090006
25,-0.2407272545758925,-0.3113566976693056,-0.00369718386202194,0.04015293867785098,583.9902969752588,9.836672746059293,581.983048658176
26,-0.23960987648305232,-0.316980916522128,-0.00460236754509698,0.03740712388035448,596.0032587475704,8.913603219817546,581.9684413174253
27,-0.23981825862715878,-0.31701747437154704,-0.0042181999976987775,0.03618630815283187,608.0007560197637,8.913603219817546,581.968441029238
28,-0.24037183104103163,-0.3226152034545784,-0.005492151689687225,0.03756677816328704,619.9995363526361,8.913603219817546,581.9684465507344
29,-0.23868655562772,-0.3283932420462707,-0.006910827054030968,0.03928114654096156,632.0006655477945,8.913603219817546,581.9684245328627
30,-0.25916308589916004,-0.339847888833897,-0.007808248167543967,0.029140952415454814,644.9994554447118,8.913603219817546,580.9495591664831
31,-0.25804609970420644,-0.3396614216508053,-0.00791879372840627,0.027234555687043693,658.0012598919901,8.913603219817546,581.9664255561484
32,-0.2571494456164347,-0.35151056868103653,-0.010962188641311925,0.03117291459244366,672.002437654634,8.913603219817546,581.9684363559344
33,-0.27766211252324013,-0.35108917014757995,-0.008210227361129597,0.01742690578565084,684.9915603584759,8.913603219817546,582.9830532540918
34,-0.277869122498819,-0.35779212681912725,-0.010370165551744363,0.018326548871777273,698.991179999533,8.913603219817546,582.9831759722333
35,-0.27737708947776807,-0.36376269138961675,-0.011753949946663483,0.018299702934633434,711.9787247460335,-93.41784813969798,583.0224911227848
36,-0.2939243321957131,-0.3702359613946215,-0.010151592851871609,0.0033058886046268246,725.9788923839736,-93.41784813969798,584.0209897058958
37,-0.29545102578042215,-0.3773256216045878,-0.011869077250974927,0.004660937564353127,738.976838424707,-192.1725997131629,583.969697992319
38,-0.2953622246059298,-0.38402876228617494,-0.01163477956918064,0.004568477877188704,752.9768585186124,-192.1725997131629,584.9699545372056
39,-0.31273340027860236,-0.39190943169988435,-0.00480532413870699,-0.015550745347169296,766.0313301057173,-192.17259390314345,584.9505389212619
40,-0.3244917924316778,-0.4000505161830998,-0.00773676140574046,0.002274296908741181,780.0441423574432,-387.4425805576177,584.9874317347501
41,-0.3236898540495966,-0.40080841766593406,-0.019256435232620495,0.012721611500473089,791.9412232757942,1.5780563885861056,586.0076788881914
42,-0.33924637078188785,-0.4029333589280882,-0.03470495467481823,0.007109554834575747,804.9411325161625,-33.8316674034586,587.0076923302619
43,-0.3379203011484084,-0.4044733278344358,-0.08536691876699178,0.06421513323991573,817.9967251066194,-477.01718161669334,587.9965154331774
44,-0.33522821150231175,-0.4050487085363891,-0.10314363503456923,0.07824862809707428,829.9969596153148,1.371430429713655,588.9964061335899
45,-0.3384490783199895,-0.40614707873541306,-0.19378886280320748,0.15910289341771705,842.9948035548765,-254.93584033648906,589.9927571468999
46,-0.306178648259147,-0.4058649151646571,-0.30201252588893285,0.2663518096673318,856.0302734380878,-2058.2034462723054,591.0171729415084
